English,Chinese,Status,Notes
"If you are to print a kind of soft TPU, please don't slice with this profile, and it is only for TPU that has high enough hardness (not less than 55D) and is compatible with the AMS. To get better printing quality, please refer to this wiki: TPU printing guide.",若要打印的 TPU 硬度较低，请勿用此参数切片。此参数仅适配硬度较高的 TPU（硬度通常需 ≥ 55D），也即可通过 AMS 打印的 TPU。其使用要求较高，为保证打印质量，请查阅 wiki: TPU 打印建议。,✓ Translated,
"If you want to process the output G-code through custom scripts, just list their absolute paths here. Separate multiple scripts with a semicolon. Scripts will be passed the absolute path to the G-code file as the first argument, and variables of settings also can be read",如果您想通过自定义脚本来处理输出的G代码，只需在这里列出它们的绝对路径。用分号来分隔多个脚本。脚本将被传递给G代码文件的绝对路径作为第一个参数，设置的变量也可以被读取。,✓ Translated,
Ignore this and Resume,忽略此问题，继续,✓ Translated,
Ignore. Don't Remind Next Time,忽略，下次不再提醒,✓ Translated,
Illegal instruction,非法指令,✓ Translated,
Import geometry data from STL/STEP/3MF/OBJ/AMF files,从STL/STEP/3MF/OBJ/AMF文件中导入几何数据,✓ Translated,
"In the 3D Printing community, we learn from each other's successes and failures to adjust our own slicing parameters and settings. %s follows the same principle and uses machine learning to improve its performance from the successes and failures of the vast number of prints by our users. We are training %s to be smarter by feeding them the real-world data. If you are willing, this service will access information from your error logs and usage logs, which may include information described in  Privacy Policy. We will not collect any Personal Data by which an individual can be identified directly or indirectly, including without limitation names, addresses, payment information, or phone numbers. By enabling this service, you agree to these terms and the statement about Privacy Policy.",在3D打印社区，我们从彼此的成功和失败中学习调整自己的切片参数和设置。%s遵循同样的原则，通过机器学习的方式从大量用户打印的成功和失败中获取经验，从而改善打印性能。我们正在通过向%s提供真实世界的数据来训练他们变得更聪明。如果您愿意，此服务将访问您的错误日志和使用日志中的信息，其中可能包括隐私政策中描述的信息。我们不会收集任何可以直接或间接识别个人的个人数据，包括但不限于姓名、地址、支付信息或电话号码。启用此服务即表示您同意这些条款和有关隐私政策的声明。,✓ Translated,
Incompatible,不兼容的预设,✓ Translated,
Incompatible presets,不兼容的预设,✓ Translated,
Increase %1%g filament and save %2% changes compared to a printer with one nozzle.,相较于单头打印机，多使用%1%g耗材，减少%2%次换料。,✓ Translated,
Increase %1%g filament and save %2% changes compared to optimal grouping.,相较于最优分组，多使用%1%g耗材，减少%2%次换料。,✓ Translated,
Install toolhead enhanced cooling fan to prevent filament softening.,为避免高环境温度下耗材软化，请安装工具头增强散热风扇。,✓ Translated,
Interface pattern,支撑面图案,✓ Translated,
Interface use loop pattern,接触面采用圈形走线。,✓ Translated,
Internal solid infill pattern,内部实心填充图案,✓ Translated,
Invalid printer preset. Unable to slice with Helio.,打印机预设无效，无法使用 Helio 功能。,✓ Translated,
Ironing Pattern,熨烫模式,✓ Translated,
Know Your Print Will Work — Before You Hit Print,在打印前确认您的打印将会成功,✓ Translated,
Last Trace ID: ,最后跟踪 ID: ,✓ Translated,
Layers,层,✓ Translated,
Learn more,更多信息查看wiki,✓ Translated,
Legal & Activation Terms,法律和激活条款,✓ Translated,
Level of Strength & Warping improvement for this part after enhancement - average for the part,增强后此零件的强度和翘曲改善程度 - 零件平均值,✓ Translated,
Level of Strength & Warping improvement for this part after enhancement - change in overall consistency,增强后此零件的强度和翘曲改善程度 - 整体一致性变化,✓ Translated,
Limits,限制,✓ Translated,
Line pattern for internal sparse infill,内部稀疏填充的走线图案,✓ Translated,
Line pattern for skeleton,骨架填充的走线图案,✓ Translated,
Line pattern for skin,表皮填充的走线图案,✓ Translated,
"Line pattern of bottom surface infill, not bridge infill",除了桥接外的底面填充的走线图案,✓ Translated,
"Line pattern of internal solid infill. if the detect narrow internal solid infill be enabled, the concentric pattern will be used for the small area.",内部实心填充的线型图案。如果启用了检测狭窄的内部实心填充，将使用同心圆图案来填充小区域。,✓ Translated,
Line pattern of support,支撑走线图案,✓ Translated,
Line pattern of support interface. Default pattern for support interface is Rectilinear Interlaced,支撑接触面的走线图案。支撑接触面的缺省图案为交叠的直线。,✓ Translated,
Line pattern of top surface infill,顶面填充的走线图案,✓ Translated,
Load Filament,进料并前往进料页面,✓ Translated,
Loading subscription status...,正在加载订阅状态...,✓ Translated,
Loading...,正在加载视频……,✓ Translated,
Low,低,✓ Translated,
"Low temperature filament(PLA/PETG/TPU) is loaded in the extruder.In order to avoid extruder clogging,it is not allowed to set the chamber temperature.",挤出机中加载了低温度的打印材料（如PLA/PETG/TPU）。为了避免挤出机堵塞，不允许设置腔温。,✓ Translated,
"Make Prints up to 30% Faster (Safely)
Get real throughput, not risky ""speed mode"". A print that normally takes 8 hours might drop to ~5.6 hours.","打印速度最高提升30%（安全可靠）
获得真正的效率提升，而非冒险的「速度模式」。一个通常需要8小时的打印可能缩短至约5.6小时。",✓ Translated,
Manage Account,管理账户,✓ Translated,
"Material is cooling too rapidly before the next layer is applied. This can cause weak layer bonding, warping, or cracking.",材料在下一层之前冷却过快。这可能导致层间结合弱、翘曲或开裂。,✓ Translated,
Max Velocity,最大速度,✓ Translated,
Max Volumetric Speed,最大体积速度,✓ Translated,
Maximum detour distance for avoiding crossing wall. Don't detour if the detour distance is larger than this value. Detour length could be specified either as an absolute value or as percentage (for example 50%) of a direct travel path. Zero to disable,避免跨越外墙时的最大绕行距离。当绕行距离比这个数值大时，此次空驶不绕行。绕行距离可表达为绝对值，或者相对直线空驶长度的百分比(例如50%)。0表示禁用,✓ Translated,
Medium,中,✓ Translated,
Min Velocity,最小速度,✓ Translated,
Min Volumetric Speed,最小体积速度,✓ Translated,
Monthly quota:,每月配额：,✓ Translated,
Move nozzle along the last extrusion path when retracting to clean leaked material on nozzle. This can minimize blob when printing new part after travel,当回抽时，让喷嘴沿着前面的走线方向继续移动，清除掉喷嘴上的漏料。这能够避免空驶结束打印新的区域时产生斑点。,✓ Translated,
"Multicolour simulation currently supports only a single filament material.
","多色仿真目前仅支持单一耗材类型。
",✓ Translated,
Multiple Filament Materials Detected,检测到多种耗材,✓ Translated,
Nano SVG parser can't load from file (%1%).,Nano SVG解析器不能加载文件（%1%）。,✓ Translated,
Network plug-in update,网络插件升级,✓ Translated,
New version of Bambu Studio,新版本的Bambu Studio,✓ Translated,
No Reminder Next Time,下次不再提醒,✓ Translated,
"No valid Helio-PAT detected. Helio simulation & optimization cannot proceed. 
Please request a new Helio-PAT.","未检测到有效的Helio PAT。无法进行Helio模拟与优化。
请申请新的Helio PAT。",✓ Translated,
"Not Extruded Yet, Retry",耗材未挤出，重试,✓ Translated,
Note: The preparation may take several minutes. Please be patient.,提示：发布前需要一些准备时间，请耐心等待。,✓ Translated,
Note: Using a reference material may result in approximate or erroneous results.,注意：使用参考材料可能导致近似或错误的结果。,✓ Translated,
Note: Using a reference printer may result in approximate or erroneous results.,注意：使用参考打印机可能导致近似或错误的结果。,✓ Translated,
Now referred to as 'Assess' or 'Assessment',"现称为""评估""",✓ Translated,
Now referred to as 'Enhance' or 'Enhancement',"现称为""增强""",✓ Translated,
OK,确认,✓ Translated,
Object will be raised by this number of support layers. Use this function to avoid warping when print ABS,模型会在相应层数的支撑上抬高进行打印。使用该功能通常用于打印ABS时翘曲。,✓ Translated,
On OSX there is always only one instance of app running by default. However it is allowed to run multiple instances of same app from the command line. In such case this settings will allow only one instance.,在OSX上，默认情况下总是只有一个应用程序实例在运行。但是，允许从命令行运行同一应用程序的多个实例。在这种情况下，此设置将只允许一个实例。,✓ Translated,
"On this system, %s uses HTTPS certificates from the system Certificate Store or Keychain.",在此系统上，%s 使用来自系统证书存储或密钥链的HTTPS证书。,✓ Translated,
Open Wiki for more information >,打开Wiki了解更多信息 >,✓ Translated,
Open filled path,打开填充路径,✓ Translated,
Open wiki for more information.,打开wiki以获取更多信息。,✓ Translated,
Optimization Settings,优化设置,✓ Translated,
Optimizing toolpath,正在优化走线,✓ Translated,
Option 1: Proceed with a reference material,选项1：使用参考材料继续,✓ Translated,
Option 1: Proceed with a reference printer,选项1：使用参考打印机继续,✓ Translated,
Optional. More accurate temperatures ensures better results.,可选。更准确的温度可确保更好的结果。,✓ Translated,
Overhang threshold for participating cooling,参与冷却降速的悬垂阈值,✓ Translated,
PA Pattern,PA图案,✓ Translated,
PLA and PETG filaments detected in the mixture. Adjust parameters according to the Wiki to ensure print quality.,检测到 PLA 和 PETG 同时打印，请根据 Wiki 中的建议调整打印参数来确保打印质量。,✓ Translated,
PPS-CF/PPA-CF is brittle and could break in bended PTFE tube above Toolhead. Please refer to Wiki before use. ,"PPS-CF/PPA-CF较脆, 容易断在工具头上方的弯折铁氟龙管里。请参考Wiki。",✓ Translated,
Paste from clipboard,从剪切板粘贴,✓ Translated,
Path can't be healed from selfintersection and multiple points.,路径无法从自切入和多个点修复。,✓ Translated,
Pattern,图案,✓ Translated,
Pattern angle,模式角度,✓ Translated,
Pause (chamber temperature control problem),暂停（腔温控制异常）,✓ Translated,
"Personal Access Token (PAT)

A secure credential that verifies your identity with Helio services. It's automatically used by BambuStudio for optimizations and simulations.

You may need to copy this to:
• Integrate Helio with other slicers or tools
• Use the Helio API directly
• Provide to support when troubleshooting","个人访问令牌 (PAT)

用于验证您在 Helio 服务中身份的安全凭证。BambuStudio 会自动使用它进行优化和仿真。

您可能需要复制此令牌用于：
• 将 Helio 与其他切片软件或工具集成
• 直接使用 Helio API
• 在故障排除时提供给技术支持",✓ Translated,
"Personal assecc token is empty, please fill in the correct token.",个人访问令牌为空，请填写正确的令牌。,✓ Translated,
"Physics-based analysis and optimization that makes prints faster, stronger, and far more reliable.",基于物理的分析和优化，使打印更快、更强、更可靠。,✓ Translated,
Plans / Upgrades,套餐 / 升级,✓ Translated,
Please enter the name you want to save to printer.,请输入要保存到打印机的名称。,✓ Translated,
"Please find the details of Flow Dynamics Calibration from our wiki.

Usually the calibration is unnecessary. When you start a single color/material print, with the ""flow dynamics calibration"" option checked in the print start menu, the printer will follow the old way, calibrate the filament before the print; When you start a multi color/material print, the printer will use the default compensation parameter for the filament during every filament switch which will have a good result in most cases.

Please note that there are a few cases that can make the calibration results unreliable, such as insufficient adhesion on the build plate. Improving adhesion can be achieved by washing the build plate or applying glue. For more information on this topic, please refer to our Wiki.

The calibration results have about 10 percent jitter in our test, which may cause the result not exactly the same in each calibration. We are still investigating the root cause to do improvements with new updates.","请从我们的wiki中找到动态流量校准的详细信息。

通常情况下，校准是不必要的。当您开始单色/单材料打印，并在打印开始菜单中勾选了“动态流量校准”选项时，打印机将按照旧的方式，在打印前校准丝料；当您开始多色/多材料打印时，打印机将在每次换丝料时使用默认的补偿参数，这在大多数情况下会产生良好的效果。

有几种情况可能导致校准结果不可靠，例如打印板的的附着力不足。清洗打印板或者使用胶水可以增强打印板附着力。您可以在我们的维基上找到更多相关信息。

在我们的测试中，校准结果有约10%的波动，这可能导致每次校准的结果略有不同。我们仍在调查根本原因，并通过新的更新进行改进。",✓ Translated,
Please make sure you have the corrent API key set in preferences.,请确保您已在偏好设置中正确设置了 API 密钥。,✓ Translated,
Please refer to Wiki before use->,请在使用前查看wiki。,✓ Translated,
Please save project and restart the program. ,请保存项目并重启程序。,✓ Translated,
Please select from the following filaments,请从以下耗材中选择,✓ Translated,
Preserve Surface Finish,保持表面光洁度,✓ Translated,
"Preset ""%1%"" already exists and is incompatible with current printer.",预设“%1%”已存在，并且和当前打印机不兼容。,✓ Translated,
"Preset ""%1%"" is not compatible with the new printer profile and it contains the following unsaved changes:","预设 ""%1%"" 与新的打印机预设不兼容，并且包含以下未保存的修改：",✓ Translated,
"Preset ""%1%"" is not compatible with the new process profile and it contains the following unsaved changes:",预设“%1%”和新的工艺预设不兼容，并且它包含以下未保存的修改：,✓ Translated,
"Preset path is not found, please reselect vendor.",预设路径未找到，请重新选择供应商。,✓ Translated,
Print Plate,打印盘,✓ Translated,
Print Priority,打印优先级,✓ Translated,
Print Success,打印成功,✓ Translated,
Print Time Improvement,打印时间优化,✓ Translated,
Print plate,打印单盘,✓ Translated,
Print the enhanced part immediately,立即打印增强后的零件,✓ Translated,
Printer model,打印机型号,✓ Translated,
Privacy Policy,隐私协议,✓ Translated,
Privacy Policy Update,隐私协议更新,✓ Translated,
Problem Solved and Resume,问题已解决，继续,✓ Translated,
Processing G-Code from Previous file...,从之前的文件加载G代码...,✓ Translated,
"Quality Check Before You Hit Print
Think of it like a pre-flight check. Example: if a PC bracket shows low TQI in thin ribs, you'll know to adjust before committing to an overnight run.","打印前进行质量检查
就像飞行前检查一样。例如：如果PC支架在薄肋处显示低TQI，您就知道在进行通宵打印之前需要调整。",✓ Translated,
Quick fixes (beginner):,快速修复（初学者）：,✓ Translated,
Rate the enhancement based on your expectations. 5 stars means awesome! 1 star means it didn't add much value for you.,根据您的期望评价增强效果。5星表示非常棒！1星表示对您没有太大价值。,✓ Translated,
Re&load from Disk,从磁盘重新加载,✓ Translated,
Ready to print,准备打印,✓ Translated,
Refers to the environment temperature of the print (i.e. A-series - room temperature). Changing chamber temperature when running an assessment/simulation allows you to play around with different temperature scenarios.,指打印的环境温度（即A系列 - 室温）。在运行评估/仿真时更改腔温可以让您尝试不同的温度场景。,✓ Translated,
Regenerate PAT,重新生成 PAT,✓ Translated,
Release Note,更新说明,✓ Translated,
Reload SVG file from disk.,从磁盘重新加载SVG文件,✓ Translated,
Reload file list from printer.,从打印机重新加载文件列表。,✓ Translated,
Reload from disk,从磁盘重新加载,✓ Translated,
Reload the plater from disk,从磁盘重新加载平台,✓ Translated,
Reload the selected parts from disk,从磁盘重新加载选中的零件,✓ Translated,
Remove Window from Set,从集合中移除窗口,✓ Translated,
Remove connector from selection,取消选择连接件,✓ Translated,
"Restrict Helio's fixes to only certain layers, or keep them for all layers - the choice is yours! (Layer 1 attached to the bed is typically skipped.)",将 Helio 的修复限制在某些层，或保留所有层 - 选择权在您！（附着在热床上的第1层通常会跳过。）,✓ Translated,
Resume (defects acceptable),继续 （缺陷可接受）,✓ Translated,
Resume (problem solved),继续（问题已解决）,✓ Translated,
Resume Printing,继续打印,✓ Translated,
Retry,重试,✓ Translated,
Retry (problem solved),重试 (问题已解决）,✓ Translated,
"Run Nylon & PC (and other advanced materials) Like a Pro
Printing Nylon 612 or Polycarbonate or other advanced materials? Helio helps you avoid the ""almost worked"" failure.","像专业人士一样使用尼龙和PC（及其他高级材料）
正在打印尼龙612或聚碳酸酯等高级材料？Helio帮您避免「差一点就成功」的失败。",✓ Translated,
Run Your First Optimization,运行您的首次优化,✓ Translated,
"SVG file path is ""%1%""","SVG文件路径为 ""%1%""",✓ Translated,
Save ,保存 ,✓ Translated,
Save %1% style,保存%1%样式,✓ Translated,
Save %1%g filament and %2% changes compared to a printer with one nozzle.,相较于单头打印机可节省%1%g耗材和%2%次换料。,✓ Translated,
Save %1%g filament and increase %2% changes compared to a printer with one nozzle.,相较于单头打印机，节省%1%g耗材，增加%2%次换料。,✓ Translated,
Save %1%g filament and increase %2% changes compared to optimal grouping.,相较于最优分组，节省%1%g耗材，增加%2%次换料。,✓ Translated,
Save %s as,另存%s为,✓ Translated,
Save G-code file as:,G-code文件另存为：,✓ Translated,
"Save Money Every Run
Faster + fewer failures = real savings.","每次打印都省钱
更快+更少失败=真正的节省。",✓ Translated,
Save Project,保存项目,✓ Translated,
Save Project as,项目另存为,✓ Translated,
Save SLA file as:,SLA 文件另存为：,✓ Translated,
Save SVG,保存SVG,✓ Translated,
Save SVG file,保存SVG文件,✓ Translated,
Save Sliced file as:,切片文件另存为：,✓ Translated,
Save as,另存为,✓ Translated,
Save as '.svg' file,另存为'.svg'文件,✓ Translated,
Save as new style,另存为新样式,✓ Translated,
Save current %s,保存当前 %s,✓ Translated,
Save current project as,项目另存为,✓ Translated,
Save current project to file,保存当前项目到文件,✓ Translated,
Save file as:,文件另存为：,✓ Translated,
Save or Discard Modified Value,保存或丢弃修改值,✓ Translated,
Save preset,保存预设,✓ Translated,
Save project,保存项目,✓ Translated,
Save the enhanced gcode locally,在本地保存增强后的G代码,✓ Translated,
"Save the printing files initiated from Bambu Studio, Bambu Handy and MakerWorld on External Storage",将从 Bambu Studio、Bambu Handy 和 MakerWorld 启动的打印文件保存在外部存储中,✓ Translated,
"Save the selected options to preset 
""%1%"".","保存所选选项到预设 
""%1%"".",✓ Translated,
Save the selected options.,保存所选项。,✓ Translated,
Save to Filament Preset,保存到材料预设,✓ Translated,
Seam placement away from overhangs(experimental),接缝远离悬垂点放置（实验）,✓ Translated,
See where it will fail,查看可能失败的位置,✓ Translated,
Select a similar material type to use for simulation:,选择用于仿真的类似材料类型：,✓ Translated,
Select a similar printer to use for simulation:,选择用于仿真的类似打印机：,✓ Translated,
Select which filament to use for simulation:,选择用于仿真的耗材：,✓ Translated,
Set your own speed and flow rate limits - or rely on Helio's custom limit settings. With unsupported materials you need to supply your own data or rely on the slicer's built in data.,设置您自己的速度和流量限制 - 或依赖 Helio 的自定义限制设置。对于不支持的材料，您需要提供自己的数据或依赖切片软件的内置数据。,✓ Translated,
Show all presets (including incompatible),显示所有预设(包括不兼容的),✓ Translated,
Simulates the thermal process to confirm your part will print without failure.,模拟热过程以确认您的零件可以无故障打印。,✓ Translated,
Skeleton infill pattern,骨架填充图案,✓ Translated,
Skin infill pattern,表皮填充图案,✓ Translated,
Skip this Version,跳过本版本,✓ Translated,
Slicer default,切片软件默认值,✓ Translated,
Software Service Terms && Conditions,软件服务条款和条件,✓ Translated,
"Some of your selected materials are not directly supported by Helio:
","您选择的部分材料不是 Helio 直接支持的：
",✓ Translated,
Something went wrong while creating GCode. Please check your custom GCodes,创建G代码时出错。请检查您的自定义G代码,✓ Translated,
Sparse infill pattern,稀疏填充图案,✓ Translated,
Special Note && Privacy Policy,特别说明和隐私政策,✓ Translated,
Speed & Strength,速度和强度,✓ Translated,
"Speed & Strength: Optimizes outer walls for improved performance.
(Formerly 'Optimise Outer Walls: Yes')

Preserve Surface Finish: Maintains outer wall quality and visual finish.
(Formerly 'Optimise Outer Walls: No')","速度和强度：优化外壁以提升性能。
（原""优化外壁：是""）

保持表面光洁度：保持外壁质量和视觉效果。
（原""优化外壁：否""）",✓ Translated,
"Split your prints into plates
Did you know that you can split a model that has a lot of parts into individual plates ready to print? This will simplify the process of keeping track of all the parts.","分盘打印
您知道吗？您可以把一个有很多零件的模型安排到多个独立的分盘，然后打印出来，这将简化对所有零件的管理。",✓ Translated,
Start Free Trial,开始免费试用,✓ Translated,
"Start your free trial to unlock premium enhancements and faster, warp-free prints!",开始免费试用，解锁高级增强功能，享受更快、无翘曲的打印！,✓ Translated,
Stop Drying,停止烘干,✓ Translated,
Stop Printing,停止打印,✓ Translated,
"Stop Wasting Precious Design Time on Tuning
Fewer trial prints, faster dial-in. Instead of multiple test prints, detect issues and print first time right.","停止在调参上浪费宝贵的设计时间
更少的测试打印，更快的调试。用Helio检测问题，一次打印成功。",✓ Translated,
"Stronger Parts With One Click
Better bonding, fewer brittle failures. Example: for Polycarbonate, results show ~+65% tensile strength after optimization.","一键获得更强的零件
更好的层间结合，更少的脆性失效。例如：聚碳酸酯优化后拉伸强度提升约65%。",✓ Translated,
"Style ""%1%"" can't be used and will be removed from a list.","样式""%1%""无法使用，将从列表中删除。",✓ Translated,
"Style and shape of the support. For normal support, projecting the supports into a regular grid will create more stable supports (default), while snug support towers will save material and reduce object scarring.
For tree support, slim style will merge branches more aggressively and save a lot of material, strong style will make larger and stronger support structure and use more materials, while hybrid style is the combination of slim tree and normal support with normal nodes under large flat overhangs. Organic style will produce more organic shaped tree structure and less interfaces which makes it easer to be removed. The default style is organic tree for most cases, and hybrid tree if adaptive layer height or soluble interface is enabled.","支撑的样式和形状。对于普通支撑，将支撑投射到一个规则的网格中，将创建更稳定的支撑（默认），而紧贴的支撑塔将节省材料并减少物体的瑕疵。
对于树形支撑，苗条树将更激进地合并树枝，并节省大量的材料；粗壮树会产生更大更强壮的支撑结构，但用料更多；而混合树是苗条树和普通支撑的结合，它会在大的平面悬垂下创建与正常支撑类似的结构；有机树将产生更有机的树状结构，并且减少界面层，这使得它们更容易被移除。多数情况下，默认风格是有机树，如果启用了自适应层高或使用了可溶性支撑材料，则为混合树。",✓ Translated,
Subscription:,订阅：,✓ Translated,
"Subtract a Part
Did you know that you can subtract one mesh from another using the Negative part modifier? That way you can, for example, create easily resizable holes directly in Bambu Studio. Read more in the documentation.","减去部分几何体
您知道吗？您可以使用负零件从另一个几何体中减去另一个几何体。例如，可以直接在Bambu Studio中创建可轻松调整大小的孔。",✓ Translated,
Successfully obtained PAT.,成功获得PAT。,✓ Translated,
Successfully synchronized color and type of filament from printer.,成功从打印机同步耗材颜色和类型。,✓ Translated,
Successfully unmounted. The device %s(%s) can now be safely removed from the computer.,卸载成功。设备%s(%s)现在可能安全地从电脑移除。,✓ Translated,
Suggestions,建议,✓ Translated,
Support control chamber temperature,支持腔温控制,✓ Translated,
Support layer uses layer height independent with object layer. This is to support customizing z-gap and save print time.This option will be invalid when the prime tower is enabled.,支撑层使用与对象层独立的层高。这是为了支持自定义z-gap并且节省打印时间。当擦料塔被启用时，这个选项将无效。,✓ Translated,
"Switch to rectilinear pattern?
Yes - switch to rectilinear pattern automatically
No  - reset density to default non 100% value automatically","切换到直线图案？
是 - 自动切换到直线图案
否 - 自动将密度重置为默认的非100%值",✓ Translated,
Synchronize filament list from AMS,从AMS同步材料列表,✓ Translated,
Synchronizing Helio,正在同步 Helio,✓ Translated,
Terms of Use,使用条款,✓ Translated,
"Thank you for purchasing a Bambu Lab device.Before using your Bambu Lab device, please read the termsand conditions.By clicking to agree to use your Bambu Lab device, you agree to abide by the Privacy Policy and Terms of Use(collectively, the ""Terms""). If you do not comply with or agree to the Bambu Lab Privacy Policy, please do not use Bambu Lab equipment and services.",感谢您购买Bambu Lab设备，使用Bambu Lab设备前，请阅读一下条款，单击同意使用您的Bambu Lab设备即表示您同意遵守隐私政策以及使用条款（统称为“条款”）。如果您不符合或不同意Bambu Lab隐私政策，请不要使用Bambu Lab设备和服务。,✓ Translated,
"The 3mf is not from Bambu Lab, load geometry data only.",该3mf文件不是来自Bambu Lab，将只加载几何数据。,✓ Translated,
The AMS will not automatically read information from inserted filament during startup and will continue to use the information recorded before the last shutdown.,AMS不会在启动时自动读取耗材丝信息。它会使用上次关机前记录的信息。,✓ Translated,
The Bambu Studio version is too old to enable cloud service. Please download the latest version from Bambu Lab website.,"当前BambuStudio的版本过低导致云端服务不可用,请从官网更新BambuStudio到最新版本。",✓ Translated,
"The chamber temperature is too high, which may cause the filament to soften. Please wait until the chamber temperature drops below %d℃. You may open the front door or enable fans to cool down.",腔温过高，可能导致打印材料软化。请等待腔温降至%d℃。您可以打开前门或启用风扇进行降温。,✓ Translated,
"The configuration package is incompatible with current application.
%s will update the configuration package, Otherwise it won't be able to start","配置包和当前的应用程序不兼容。
%s会更新配置包，否则无法正常启动",✓ Translated,
"The current chamber temperature or the target chamber temperature exceeds 45℃.In order to avoid extruder clogging,low temperature filament(PLA/PETG/TPU) is not allowed to be loaded.",当前腔温或目标腔温超过了45℃。为了避免挤出机堵塞，不允许加载低温度的打印材料（如PLA/PETG/TPU）,✓ Translated,
The current printer preset cannot be sliced using Helio.,当前打印机预设无法使用 Helio 功能。,✓ Translated,
"The current project has unsaved changes, save it before continue?",当前项目包含未保存的修改。是否先保存？,✓ Translated,
"The current project has unsaved changes, save it before continuing?",当前项目有未保存的更改，是否保存后再继续？,✓ Translated,
"The distance from the boundary between filaments to generate interlocking structure, measured in cells. Too few cells will result in poor adhesion.",从耗材丝之间的边界到产生互锁的距离以细胞为单位测量的结构。细胞太少会导致粘附不良。,✓ Translated,
"The distance from the outside of a model where interlocking structures will not be generated, measured in cells.",互锁结构与模型外部的距离不生成，以单元格为单位测量。,✓ Translated,
The distance to keep the from the edges of ironing line. 0 means not apply.,这个表示熨烫区域距离轮廓边界的距离，0表示不使用。,✓ Translated,
The filament may not be compatible with the current machine settings. A random filament preset will be used.,该材料与当前机器设置不兼容，将使用随机的材料预设。,✓ Translated,
The filament may not be compatible with the current machine settings. Generic filament presets will be used.,该材料与当前机器设置不兼容，将使用通用的材料预设。,✓ Translated,
The filament type setting of external spool is different from the filament in the slicing file.,外挂槽的耗材设置与切片文件中的耗材不同，可能会引起打印不良。,✓ Translated,
The following plates are skipped due to different arranging settings from global:,由于单盘摆盘设置与全局不同，以下盘被跳过：,✓ Translated,
"The generic presets are conservatively tuned for compatibility with a wider range of filaments. For higher printing quality and speeds, please use Bambu filaments with Bambu presets.",Generic 参数为了兼容更多种耗材而进行了较为保守的调校，使用拓竹原装耗材配合拓竹专用参数可获得更高的打印质量与更高的打印速度。,✓ Translated,
The nozzle diameter has been synchronized from the printer Settings,喷嘴直径已从打印机设置同步,✓ Translated,
"The nozzle type and AMS quantity information has not been synced from the connected printer.
After syncing, software can optimize printing time and filament usage when slicing.
Would you like to sync now ?",喷嘴和AMS数量信息尚未从当前连接的打印机同步。同步后，软件能够在切片时优化打印时间并减少打印时耗材浪费。是否现在同步？,✓ Translated,
"The number of walls, counted from the center, over which the variation needs to be spread. Lower values mean that the outer walls don't change in width",从中心开始计算的墙层数，线宽变化需要分布在这些墙走线上。较低的数值意味着外墙宽度更不易被改变,✓ Translated,
"The object from file %s is too small, and maybe in meters or inches.
 Do you want to scale to millimeters?","文件 %s 中对象的尺寸似乎是以米或者英寸为单位定义的。
BambuStudio的内部单位为毫米。是否要转换成毫米？",✓ Translated,
The part cools too fast between layers on average. Some layers may behave differently—see observations.,零件层间平均冷却过快。某些层可能表现不同 — 查看观察结果。,✓ Translated,
The part stays too warm between layers on average. Some layers may behave differently—see observations.,零件层间平均温度过高。某些层可能表现不同 — 查看观察结果。,✓ Translated,
The printer has already been bound.,打印机已绑定。,✓ Translated,
"The printer mode is incorrect, please switch to LAN Only.",打印机模式不正确，请切换到仅局域网。,✓ Translated,
"The remaining part of the model contour after removing a certain depth from the surface is called the skeleton. This parameter is used to adjust the density of this section.When two regions have the same sparse infill settings but different skeleton densities, their skeleton areas will develop overlapping sections.default is as same as infill density.",去除表面一定深度之后余留的部分被称作骨架。这个参数用于调整骨架部分的密度。两个有同样的稀疏填充密度但是不同骨架密度的区域走线会有重叠的部分。默认值和稀疏填充密度一致。,✓ Translated,
The selected printer (%s) is incompatible with the chosen printer profile in the slicer (%s).,所选打印机（%s）与切片软件中选择的打印机配置文件（%s）不兼容。,✓ Translated,
The selected printer (%s) is incompatible with the print file configuration (%s). Please adjust the printer preset in the prepare page or choose a compatible printer on this page.,当前选择的打印机（%s）与打印文件配置（%s）不兼容，请前往准备界面重新选择打印机预设，或在此页面选择兼容的打印机。,✓ Translated,
The selected printer is incompatible with the chosen printer presets.,所选打印机与选择的打印机预设不兼容。,✓ Translated,
"The smaller the number, the longer the speed transition path. 0 means not apply.",数值越小速度过渡区越大。0表示不应用。,✓ Translated,
The start and end points which are from cutter area to garbage can.,从切割区域到垃圾桶的起始和结束点。,✓ Translated,
The toolhead and hotend rack may move. Please keep your hands away from the chamber.,工具头和热端架可能会运动，请勿将手伸入机箱。,✓ Translated,
The wall of prime tower will skip the start points of wipe path,擦料塔的外墙跳过内部擦拭路径的起点,✓ Translated,
"There are no compatible filaments, and sync is not performed.",没有任何兼容的材料，同步操作未执行。,✓ Translated,
"There are some unknown or uncompatible filaments mapped to generic preset.
Please update Bambu Studio or restart Bambu Studio to check if there is an update to system presets.","有一些未知或不兼容的耗材映射到通用预设。
请更新Bambu Studio或重新启动Bambu Studio，以检查是否有系统预设的更新。",✓ Translated,
There are warnings after slicing models:,模型切片警告：,✓ Translated,
"There many parts of the software that come from community contributions, so we're unable to list them one-by-one, and instead, they'll be attributed in the corresponding code comments.",软件中有很多部分来自于社区贡献，因此我们不便逐一列出他们，作为替代，他们将在相应的代码注释中被介绍。,✓ Translated,
